qid	query	type	seed	k	gold
SML01	similar to Delphi Method	SIMILAR	Delphi Method	5	Multi-Stakeholder Discussion Group;Joint Fact Finding;Research Marketplace;Toolbox dialogue approach;Functional-dynamic stakeholder involvement
ALT01	alternatives to Delphi Method	ALT	Delphi Method	5	Multi-Stakeholder Discussion Group;Joint Fact Finding;Research Marketplace;Scenario Planning;Context and Actor Analysis
REL01	related to Delphi Method	REL	Delphi Method	5	Functional-dynamic stakeholder involvement;Toolbox dialogue approach;Joint Fact Finding;Multi-Stakeholder Discussion Group;Research Marketplace
SML02	similar to Design Thinking	SIMILAR	Design Thinking	5	Idea Tree;Soft systems methodology;Rich Picture;But Why Technique;Outcome spaces framework
ALT02	alternatives to Design Thinking	ALT	Design Thinking	5	Idea Tree;Soft systems methodology;Three types of knowledge tool;Scenario Planning;COLLAB Game
REL02	related to Design Thinking	REL	Design Thinking	5	Outcome spaces framework;Three types of knowledge tool;But Why Technique;COLLAB Game;Storywall
SML03	similar to Actor Constellation	SIMILAR	Actor Constellation	5	Context and Actor Analysis;NetMap;3 Circle Model for Actor Constellations;Joint Fact Finding;Functional-dynamic stakeholder involvement
ALT03	alternatives to Actor Constellation	ALT	Actor Constellation	5	NetMap;Context and Actor Analysis;3 Circle Model for Actor Constellations;Joint Fact Finding;Research Marketplace
REL03	related to Actor Constellation	REL	Actor Constellation	5	Functional-dynamic stakeholder involvement;Context and Actor Analysis;3 Circle Model for Actor Constellations;NetMap;Risk & Equity Matrix
SML04	similar to Emancipatory Boundary Critique	SIMILAR	Emancipatory Boundary Critique	5	Toolbox dialogue approach;Risk & Equity Matrix;Outcome spaces framework;Soft systems methodology;Group Reflection
ALT04	alternatives to Emancipatory Boundary Critique	ALT	Emancipatory Boundary Critique	5	Toolbox dialogue approach;Joint Fact Finding;Risk & Equity Matrix;Three types of knowledge tool;Outcome spaces framework
REL04	related to Emancipatory Boundary Critique	REL	Emancipatory Boundary Critique	5	Group Reflection;Toolbox dialogue approach;Risk & Equity Matrix;Outcome spaces framework;Soft systems methodology
SML05	similar to Most Significant Change (MSC) Technique	SIMILAR	Most Significant Change (MSC) Technique	5	Outcome Harvesting;Evaluation Matrix;Learning History;After Action Review;Storywall
ALT05	alternatives to Most Significant Change (MSC) Technique	ALT	Most Significant Change (MSC) Technique	5	Evaluation Matrix;Outcome Harvesting;Group Reflection;Learning History;After Action Review
REL05	related to Most Significant Change (MSC) Technique	REL	Most Significant Change (MSC) Technique	5	Outcome Harvesting;Evaluation H;Group Reflection;Learning History;Process Mapping (Retrospective)
SML06	similar to Functional-dynamic stakeholder involvement	SIMILAR	Functional-dynamic stakeholder involvement	5	Actor Constellation;Context and Actor Analysis;Research Marketplace;Multi-Stakeholder Discussion Group;3 Circle Model for Actor Constellations
ALT06	alternatives to Functional-dynamic stakeholder involvement	ALT	Functional-dynamic stakeholder involvement	5	Multi-Stakeholder Discussion Group;Joint Fact Finding;Research Marketplace;Actor Constellation;3 Circle Model for Actor Constellations
REL06	related to Functional-dynamic stakeholder involvement	REL	Functional-dynamic stakeholder involvement	5	Context and Actor Analysis;Actor Constellation;3 Circle Model for Actor Constellations;Research Marketplace;Joint Fact Finding
SML07	similar to Give-and-take matrix	SIMILAR	Give-and-take matrix	5	Research Marketplace;Outcome spaces framework;Three types of knowledge tool;Idea Tree;Soft systems methodology
ALT07	alternatives to Give-and-take matrix	ALT	Give-and-take matrix	5	Research Marketplace;Functional-dynamic stakeholder involvement;Joint Fact Finding;Multi-Stakeholder Discussion Group;Context and Actor Analysis
REL07	related to Give-and-take matrix	REL	Give-and-take matrix	5	Research Marketplace;Outcome spaces framework;Idea Tree;Three types of knowledge tool;Soft systems methodology
SML08	similar to Multi-Stakeholder Discussion Group	SIMILAR	Multi-Stakeholder Discussion Group	5	Joint Fact Finding;Research Marketplace;Evaluation H;Group Reflection;Functional-dynamic stakeholder involvement
ALT08	alternatives to Multi-Stakeholder Discussion Group	ALT	Multi-Stakeholder Discussion Group	5	Research Marketplace;Joint Fact Finding;Actor Constellation;Context and Actor Analysis;COLLAB Game
REL08	related to Multi-Stakeholder Discussion Group	REL	Multi-Stakeholder Discussion Group	5	Group Reflection;Evaluation H;Joint Fact Finding;Research Marketplace;Functional-dynamic stakeholder involvement
SML09	similar to Nomadic concepts	SIMILAR	Nomadic concepts	5	Toolbox dialogue approach;Three types of knowledge tool;Design Thinking;Storywall;Group Reflection
ALT09	alternatives to Nomadic concepts	ALT	Nomadic concepts	5	Toolbox dialogue approach;Three types of knowledge tool;But Why Technique;Research Marketplace;Design Thinking
REL09	related to Nomadic concepts	REL	Nomadic concepts	5	Toolbox dialogue approach;Three types of knowledge tool;Design Thinking;Group Reflection;Storywall
SML10	similar to Outcome spaces framework	SIMILAR	Outcome spaces framework	5	Theory of change;Evaluation Matrix;Three types of knowledge tool;Design Thinking;Risk & Equity Matrix
ALT10	alternatives to Outcome spaces framework	ALT	Outcome spaces framework	5	Theory of change;Evaluation Matrix;Three types of knowledge tool;Give-and-take matrix;Soft systems methodology
REL10	related to Outcome spaces framework	REL	Outcome spaces framework	5	Theory of change;Risk & Equity Matrix;Evaluation Matrix;Design Thinking;Three types of knowledge tool
SML11	similar to Research Marketplace	SIMILAR	Research Marketplace	5	Give-and-take matrix;Multi-Stakeholder Discussion Group;Storywall;Group Reflection;After Action Review
ALT11	alternatives to Research Marketplace	ALT	Research Marketplace	5	Multi-Stakeholder Discussion Group;Joint Fact Finding;COLLAB Game;Functional-dynamic stakeholder involvement;Idea Tree
REL11	related to Research Marketplace	REL	Research Marketplace	5	Give-and-take matrix;Group Reflection;Storywall;After Action Review;Multi-Stakeholder Discussion Group
SML12	similar to Scenario Planning	SIMILAR	Scenario Planning	5	Theory of change;Design Thinking;Risk & Equity Matrix;Outcome spaces framework;Idea Tree
ALT12	alternatives to Scenario Planning	ALT	Scenario Planning	5	Theory of change;Outcome spaces framework;Design Thinking;Idea Tree;Joint Fact Finding
REL12	related to Scenario Planning	REL	Scenario Planning	5	Theory of change;Risk & Equity Matrix;Outcome spaces framework;Design Thinking;Idea Tree
SML13	similar to Soft systems methodology	SIMILAR	Soft systems methodology	5	Rich Picture;Design Thinking;But Why Technique;Context and Actor Analysis;Actor Constellation
ALT13	alternatives to Soft systems methodology	ALT	Soft systems methodology	5	Design Thinking;Rich Picture;Three types of knowledge tool;But Why Technique;Idea Tree
REL13	related to Soft systems methodology	REL	Soft systems methodology	5	Rich Picture;Context and Actor Analysis;Actor Constellation;But Why Technique;Design Thinking
SML14	similar to Storywall	SIMILAR	Storywall	5	Learning History;After Action Review;Group Reflection;Process Mapping (Retrospective);Evaluation H
ALT14	alternatives to Storywall	ALT	Storywall	5	After Action Review;Group Reflection;Outcome Harvesting;Learning History;Evaluation Matrix
REL14	related to Storywall	REL	Storywall	5	Group Reflection;Learning History;After Action Review;Process Mapping (Retrospective);Evaluation H
SML15	similar to Toolbox dialogue approach	SIMILAR	Toolbox dialogue approach	5	Nomadic concepts;Emancipatory Boundary Critique;Three types of knowledge tool;Research Marketplace;Group Reflection
ALT15	alternatives to Toolbox dialogue approach	ALT	Toolbox dialogue approach	5	Nomadic concepts;Emancipatory Boundary Critique;Group Reflection;Delphi Method;Multi-Stakeholder Discussion Group
REL15	related to Toolbox dialogue approach	REL	Toolbox dialogue approach	5	Nomadic concepts;Three types of knowledge tool;Group Reflection;Emancipatory Boundary Critique;Research Marketplace
SML16	similar to Tell Your Story by Means of an Object	SIMILAR	Tell Your Story by Means of an Object	5	Group Reflection;Storywall;COLLAB Game;Evaluation H;Design Thinking
ALT16	alternatives to Tell Your Story by Means of an Object	ALT	Tell Your Story by Means of an Object	5	Group Reflection;Storywall;COLLAB Game;Research Marketplace;Evaluation H
REL16	related to Tell Your Story by Means of an Object	REL	Tell Your Story by Means of an Object	5	Group Reflection;Storywall;COLLAB Game;Evaluation H;Design Thinking
SML17	similar to Context and Actor Analysis	SIMILAR	Context and Actor Analysis	5	Actor Constellation;NetMap;3 Circle Model for Actor Constellations;Risk & Equity Matrix;Joint Fact Finding
ALT17	alternatives to Context and Actor Analysis	ALT	Context and Actor Analysis	5	NetMap;Actor Constellation;3 Circle Model for Actor Constellations;Joint Fact Finding;Functional-dynamic stakeholder involvement
REL17	related to Context and Actor Analysis	REL	Context and Actor Analysis	5	NetMap;Actor Constellation;Risk & Equity Matrix;3 Circle Model for Actor Constellations;Joint Fact Finding
SML18	similar to But Why Technique	SIMILAR	But Why Technique	5	Design Thinking;Soft systems methodology;Idea Tree;Three types of knowledge tool;Rich Picture
ALT18	alternatives to But Why Technique	ALT	But Why Technique	5	Three types of knowledge tool;Design Thinking;Soft systems methodology;Outcome spaces framework;Idea Tree
REL18	related to But Why Technique	REL	But Why Technique	5	Design Thinking;Soft systems methodology;Idea Tree;Rich Picture;Three types of knowledge tool
SML19	similar to COLLAB Game	SIMILAR	COLLAB Game	5	Group Reflection;Tell Your Story by Means of an Object;Evaluation H;Research Marketplace;Design Thinking
ALT19	alternatives to COLLAB Game	ALT	COLLAB Game	5	Group Reflection;Evaluation H;Research Marketplace;Storywall;Multi-Stakeholder Discussion Group
REL19	related to COLLAB Game	REL	COLLAB Game	5	Group Reflection;Design Thinking;Research Marketplace;Evaluation H;Tell Your Story by Means of an Object
SML20	similar to Evaluation H	SIMILAR	Evaluation H	5	Group Reflection;After Action Review;Storywall;Evaluation Matrix;Outcome Harvesting
ALT20	alternatives to Evaluation H	ALT	Evaluation H	5	After Action Review;Group Reflection;Evaluation Matrix;Outcome Harvesting;Storywall
REL20	related to Evaluation H	REL	Evaluation H	5	Group Reflection;After Action Review;Storywall;Evaluation Matrix;Outcome Harvesting
SML21	similar to Idea Tree	SIMILAR	Idea Tree	5	Design Thinking;But Why Technique;Three types of knowledge tool;Rich Picture;Give-and-take matrix
ALT21	alternatives to Idea Tree	ALT	Idea Tree	5	Design Thinking;Three types of knowledge tool;But Why Technique;Scenario Planning;Soft systems methodology
REL21	related to Idea Tree	REL	Idea Tree	5	Design Thinking;Rich Picture;Three types of knowledge tool;But Why Technique;Give-and-take matrix
SML22	similar to Joint Fact Finding	SIMILAR	Joint Fact Finding	5	Multi-Stakeholder Discussion Group;Functional-dynamic stakeholder involvement;Research Marketplace;Context and Actor Analysis;NetMap
ALT22	alternatives to Joint Fact Finding	ALT	Joint Fact Finding	5	Multi-Stakeholder Discussion Group;Research Marketplace;Delphi Method;Actor Constellation;Scenario Planning
REL22	related to Joint Fact Finding	REL	Joint Fact Finding	5	Functional-dynamic stakeholder involvement;Multi-Stakeholder Discussion Group;Context and Actor Analysis;NetMap;Research Marketplace
SML23	similar to NetMap	SIMILAR	NetMap	5	Context and Actor Analysis;Actor Constellation;3 Circle Model for Actor Constellations;Risk & Equity Matrix;Joint Fact Finding
ALT23	alternatives to NetMap	ALT	NetMap	5	Context and Actor Analysis;Actor Constellation;3 Circle Model for Actor Constellations;Joint Fact Finding;Research Marketplace
REL23	related to NetMap	REL	NetMap	5	Actor Constellation;Context and Actor Analysis;Risk & Equity Matrix;Joint Fact Finding;3 Circle Model for Actor Constellations
SML24	similar to Rich Picture	SIMILAR	Rich Picture	5	Soft systems methodology;Design Thinking;Idea Tree;Context and Actor Analysis;Storywall
ALT24	alternatives to Rich Picture	ALT	Rich Picture	5	Design Thinking;Soft systems methodology;Idea Tree;But Why Technique;Three types of knowledge tool
REL24	related to Rich Picture	REL	Rich Picture	5	Soft systems methodology;Context and Actor Analysis;Storywall;Design Thinking;Idea Tree
SML25	similar to Risk & Equity Matrix	SIMILAR	Risk & Equity Matrix	5	Outcome spaces framework;Theory of change;Evaluation Matrix;NetMap;Context and Actor Analysis
ALT25	alternatives to Risk & Equity Matrix	ALT	Risk & Equity Matrix	5	Outcome spaces framework;Evaluation Matrix;Theory of change;Scenario Planning;Joint Fact Finding
REL25	related to Risk & Equity Matrix	REL	Risk & Equity Matrix	5	Outcome spaces framework;Context and Actor Analysis;NetMap;Evaluation Matrix;Theory of change
SML26	similar to 3 Circle Model for Actor Constellations	SIMILAR	3 Circle Model for Actor Constellations	5	Actor Constellation;NetMap;Context and Actor Analysis;Functional-dynamic stakeholder involvement;Joint Fact Finding
ALT26	alternatives to 3 Circle Model for Actor Constellations	ALT	3 Circle Model for Actor Constellations	5	Actor Constellation;NetMap;Context and Actor Analysis;Functional-dynamic stakeholder involvement;Research Marketplace
REL26	related to 3 Circle Model for Actor Constellations	REL	3 Circle Model for Actor Constellations	5	Actor Constellation;NetMap;Context and Actor Analysis;Joint Fact Finding;Functional-dynamic stakeholder involvement
SML27	similar to Theory of change	SIMILAR	Theory of change	5	Outcome spaces framework;Evaluation Matrix;Scenario Planning;Outcome Harvesting;Learning History
ALT27	alternatives to Theory of change	ALT	Theory of change	5	Outcome spaces framework;Evaluation Matrix;Scenario Planning;Process Mapping (Retrospective);Risk & Equity Matrix
REL27	related to Theory of change	REL	Theory of change	5	Outcome spaces framework;Outcome Harvesting;Evaluation Matrix;Learning History;Scenario Planning
SML28	similar to Three types of knowledge tool	SIMILAR	Three types of knowledge tool	5	Design Thinking;Idea Tree;But Why Technique;Outcome spaces framework;Toolbox dialogue approach
ALT28	alternatives to Three types of knowledge tool	ALT	Three types of knowledge tool	5	Design Thinking;Idea Tree;But Why Technique;Give-and-take matrix;Soft systems methodology
REL28	related to Three types of knowledge tool	REL	Three types of knowledge tool	5	Toolbox dialogue approach;Design Thinking;Idea Tree;But Why Technique;Outcome spaces framework
SML29	similar to After Action Review	SIMILAR	After Action Review	5	Group Reflection;Storywall;Evaluation H;Learning History;Process Mapping (Retrospective)
ALT29	alternatives to After Action Review	ALT	After Action Review	5	Group Reflection;Evaluation H;Storywall;Learning History;Evaluation Matrix
REL29	related to After Action Review	REL	After Action Review	5	Group Reflection;Storywall;Evaluation H;Learning History;Process Mapping (Retrospective)
SML30	similar to Group Reflection	SIMILAR	Group Reflection	5	Evaluation H;After Action Review;Storywall;COLLAB Game;Research Marketplace
ALT30	alternatives to Group Reflection	ALT	Group Reflection	5	Evaluation H;After Action Review;Storywall;Learning History;Process Mapping (Retrospective)
REL30	related to Group Reflection	REL	Group Reflection	5	Evaluation H;After Action Review;Storywall;COLLAB Game;Research Marketplace
SML31	similar to Outcome Harvesting	SIMILAR	Outcome Harvesting	5	Most Significant Change (MSC) Technique;Evaluation Matrix;Learning History;Theory of change;After Action Review
ALT31	alternatives to Outcome Harvesting	ALT	Outcome Harvesting	5	Most Significant Change (MSC) Technique;Evaluation Matrix;Theory of change;Group Reflection;Process Mapping (Retrospective)
REL31	related to Outcome Harvesting	REL	Outcome Harvesting	5	Evaluation Matrix;Most Significant Change (MSC) Technique;Learning History;Theory of change;After Action Review
SML32	similar to Learning History	SIMILAR	Learning History	5	Storywall;After Action Review;Outcome Harvesting;Process Mapping (Retrospective);Group Reflection
ALT32	alternatives to Learning History	ALT	Learning History	5	Storywall;After Action Review;Outcome Harvesting;Evaluation Matrix;Group Reflection
REL32	related to Learning History	REL	Learning History	5	Storywall;After Action Review;Outcome Harvesting;Process Mapping (Retrospective);Group Reflection
SML33	similar to Process Mapping (Retrospective)	SIMILAR	Process Mapping (Retrospective)	5	Learning History;Storywall;Evaluation Matrix;After Action Review;Group Reflection
ALT33	alternatives to Process Mapping (Retrospective)	ALT	Process Mapping (Retrospective)	5	Learning History;Storywall;Evaluation Matrix;Outcome Harvesting;After Action Review
REL33	related to Process Mapping (Retrospective)	REL	Process Mapping (Retrospective)	5	Storywall;Learning History;After Action Review;Evaluation Matrix;Group Reflection
SML34	similar to Evaluation Matrix	SIMILAR	Evaluation Matrix	5	Theory of change;Outcome spaces framework;Evaluation H;Outcome Harvesting;Risk & Equity Matrix
ALT34	alternatives to Evaluation Matrix	ALT	Evaluation Matrix	5	Outcome spaces framework;Theory of change;Outcome Harvesting;After Action Review;Group Reflection
REL34	related to Evaluation Matrix	REL	Evaluation Matrix	5	Theory of change;Outcome spaces framework;Outcome Harvesting;Evaluation H;Risk & Equity Matrix
