i,id,query,route,n_buttons,has_card,latency_ms,html_len
55,SML03,similar to Actor Constellation,similar_list,6,False,123.3,782
56,ALT03,alternatives to Actor Constellation,similar_list,6,False,140.5,782
57,REL03,related to Actor Constellation,similar_list,6,False,163.4,782
58,SML04,similar to Emancipatory Boundary Critique,similar_list,6,False,194.8,747
59,ALT04,alternatives to Emancipatory Boundary Critique,similar_list,6,False,243.4,747
60,REL04,related to Emancipatory Boundary Critique,similar_list,6,False,193.7,747
61,SML05,similar to Most Significant Change (MSC) Technique,similar_list,6,False,125.3,708
62,ALT05,alternatives to Most Significant Change (MSC) Technique,similar_list,6,False,125.0,708
63,REL05,related to Most Significant Change (MSC) Technique,similar_list,6,False,112.8,708
64,SML06,similar to Functional-dynamic stakeholder involvement,similar_list,6,False,184.6,737
65,ALT06,alternatives to Functional-dynamic stakeholder involvement,similar_list,6,False,179.7,737
66,REL06,related to Functional-dynamic stakeholder involvement,similar_list,6,False,179.1,737
67,SML07,similar to Give-and-take matrix,similar_list,6,False,128.8,779
68,ALT07,alternatives to Give-and-take matrix,similar_list,6,False,99.9,779
69,REL07,related to Give-and-take matrix,similar_list,6,False,130.3,779
70,SML08,similar to Multi-Stakeholder Discussion Group,similar_list,6,False,40.0,725
71,ALT08,alternatives to Multi-Stakeholder Discussion Group,similar_list,6,False,39.7,725
72,REL08,related to Multi-Stakeholder Discussion Group,similar_list,6,False,60.4,725
73,SML09,similar to Nomadic concepts,similar_list,6,False,166.1,785
74,ALT09,alternatives to Nomadic concepts,similar_list,6,False,179.9,785
75,REL09,related to Nomadic concepts,similar_list,6,False,170.0,785
76,SML10,similar to Outcome spaces framework,similar_list,6,False,162.3,763
77,ALT10,alternatives to Outcome spaces framework,similar_list,6,False,145.6,763
78,REL10,related to Outcome spaces framework,similar_list,6,False,152.3,763
79,SML11,similar to Research Marketplace,similar_list,6,False,83.3,789
80,ALT11,alternatives to Research Marketplace,similar_list,6,False,112.4,789
81,REL11,related to Research Marketplace,similar_list,6,False,115.5,789
82,SML12,similar to Scenario Planning,similar_list,6,False,68.7,742
83,ALT12,alternatives to Scenario Planning,similar_list,6,False,69.7,742
84,REL12,related to Scenario Planning,similar_list,6,False,58.4,742
85,SML13,similar to Soft systems methodology,similar_list,6,False,228.5,763
86,ALT13,alternatives to Soft systems methodology,similar_list,6,False,187.7,763
87,REL13,related to Soft systems methodology,similar_list,6,False,182.0,763
88,SML14,similar to Storywall,similar_list,6,False,126.2,752
89,ALT14,alternatives to Storywall,similar_list,6,False,113.8,752
90,REL14,related to Storywall,similar_list,6,False,99.8,752
91,SML15,similar to Toolbox dialogue approach,similar_list,6,False,100.0,768
92,ALT15,alternatives to Toolbox dialogue approach,similar_list,6,False,68.0,768
93,REL15,related to Toolbox dialogue approach,similar_list,6,False,79.9,768
94,SML16,similar to Tell Your Story by Means of an Object,similar_list,6,False,75.0,676
95,ALT16,alternatives to Tell Your Story by Means of an Object,similar_list,6,False,47.5,676
96,REL16,related to Tell Your Story by Means of an Object,similar_list,6,False,57.5,676
97,SML17,similar to Context and Actor Analysis,similar_list,6,False,42.6,723
98,ALT17,alternatives to Context and Actor Analysis,similar_list,6,False,49.9,723
99,REL17,related to Context and Actor Analysis,similar_list,6,False,50.1,723
100,SML18,similar to But Why Technique,similar_list,6,False,40.3,760
101,ALT18,alternatives to But Why Technique,similar_list,6,False,37.1,760
102,REL18,related to But Why Technique,similar_list,6,False,59.5,760
103,SML19,similar to COLLAB Game,similar_list,6,False,39.9,762
104,ALT19,alternatives to COLLAB Game,similar_list,6,False,34.7,762
105,REL19,related to COLLAB Game,similar_list,6,False,46.8,762
106,SML20,similar to Evaluation H,similar_list,6,False,53.6,701
107,ALT20,alternatives to Evaluation H,similar_list,6,False,40.1,701
108,REL20,related to Evaluation H,similar_list,6,False,65.5,701
109,SML21,similar to Idea Tree,similar_list,6,False,43.4,772
110,ALT21,alternatives to Idea Tree,similar_list,6,False,40.4,772
111,REL21,related to Idea Tree,similar_list,6,False,45.5,772
112,SML22,similar to Joint Fact Finding,similar_list,6,False,69.9,753
113,ALT22,alternatives to Joint Fact Finding,similar_list,6,False,39.8,753
114,REL22,related to Joint Fact Finding,similar_list,6,False,37.0,753
115,SML23,similar to NetMap,similar_list,6,False,50.0,769
116,ALT23,alternatives to NetMap,similar_list,6,False,50.0,769
117,REL23,related to NetMap,similar_list,6,False,46.8,769
118,SML24,similar to Rich Picture,similar_list,6,False,54.2,719
119,ALT24,alternatives to Rich Picture,similar_list,6,False,55.0,719
120,REL24,related to Rich Picture,similar_list,6,False,40.0,719
121,SML25,similar to Risk & Equity Matrix,similar_list,6,False,50.1,669
122,ALT25,alternatives to Risk & Equity Matrix,similar_list,6,False,65.2,669
123,REL25,related to Risk & Equity Matrix,similar_list,6,False,61.2,669
124,SML26,similar to 3 Circle Model for Actor Constellations,similar_list,6,False,34.4,706
125,ALT26,alternatives to 3 Circle Model for Actor Constellations,similar_list,6,False,57.1,706
126,REL26,related to 3 Circle Model for Actor Constellations,similar_list,6,False,42.8,706
127,SML27,similar to Theory of change,similar_list,6,False,177.0,719
128,ALT27,alternatives to Theory of change,similar_list,6,False,159.7,719
129,REL27,related to Theory of change,similar_list,6,False,158.6,719
